INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,VEHICLE AGE,PREMIUM RATE,VEHICLE AGE BAND,LOG POLICY PREMIUM
Comprehensive,Car,Private,Audi,A4,2011,11750000.0,158097.44,14,0.0134551012765957,13+ Years,11.970973155976207
Comprehensive,Car,Private,Honda,Civic,2017,14400000.0,193098.09,8,0.0134095895833333,8-12 Years,12.170958755821347
Comprehensive,Car,Private,Toyota,Voxy,2014,19400000.0,259136.44,11,0.0133575484536082,8-12 Years,12.46511385630403
Comprehensive,Car,Private,Peugeot,508,2011,13500000.0,181211.26,14,0.0134230562962962,13+ Years,12.107424330346328
Comprehensive,Car,Private,Bajaj,Pulsar 180,2016,180000.0,7729.42,9,0.0429412222222222,8-12 Years,8.952918473869996
Comprehensive,Car,Private,Suzuki,Swift,2003,4150000.0,57719.26,22,0.0139082554216867,13+ Years,10.963363517382167
Comprehensive,Car,Private,BMW,520d,2012,20875000.0,278617.24,13,0.0133469336526946,13+ Years,12.537597808392945
Comprehensive,Car,Private,Mini,Cooper,2015,18775000.0,250881.65,10,0.0133625379494007,8-12 Years,12.432740578907271
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2016,56500000.0,749140.52,9,0.0132591242477876,8-12 Years,13.526683189911797
Comprehensive,Car,Private,Mercedes Benz,C180,2016,21250000.0,283570.91,9,0.0133445134117647,8-12 Years,12.55522102077967
Comprehensive,Car,Private,Honda,Fit Shuttle,2014,9690000.0,130889.71,11,0.0135077100103199,8-12 Years,11.782117979173222
Comprehensive,Car,Private,Mercedes Benz,C200,2018,33590000.0,446553.37,7,0.013294235486752,4-7 Years,13.00931644120232
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000.0,29190.88,31,0.0146687839195979,13+ Years,10.28164586739257
Comprehensive,Car,Private,Audi,Q2,2018,17650000.0,236022.62,7,0.0133723864022662,4-7 Years,12.371687163745365
Comprehensive,Car,Private,Renault,KWID,2016,3050000.0,43191.14,9,0.0141610295081967,8-12 Years,10.673413813233859
Comprehensive,Car,Private,Toyota,Aqua,2014,7690000.0,104474.77,11,0.0135857958387516,8-12 Years,11.55671045747321
Comprehensive,Car,Private,Toyota,Prius,2013,9750000.0,131682.5,12,0.0135058974358974,8-12 Years,11.788156595144542
Comprehensive,Car,Private,Mitsubishi,Lancer,2008,7690000.0,104474.77,17,0.0135857958387516,13+ Years,11.55671045747321
Comprehensive,Car,Private,Nissan,Sunny,2005,4200000.0,58380.08,20,0.013900019047619,13+ Years,10.974747143723118
Comprehensive,Car,Private,Micro,Panda,2016,2750000.0,39229.2,9,0.0142651636363636,8-12 Years,10.577202137329781
Comprehensive,Car,Private,Toyota,Vitz,2017,8490000.0,115040.94,8,0.0135501696113074,8-12 Years,11.653052036512266
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000.0,105795.41,12,0.0135809255455712,8-12 Years,11.569271865883564
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6900000.0,94040.56,8,0.0136290666666666,8-12 Years,11.45149209120208
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6925000.0,94370.47,8,0.0136275046931407,8-12 Years,11.45499408187827
Comprehensive,Car,Private,Mercedes Benz,C200,2017,28500000.0,379326.33,8,0.0133096957894736,8-12 Years,12.846154778864527
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,32950000.0,438099.62,6,0.0132958913505311,4-7 Years,12.990203889002997
Comprehensive,Car,Private,Audi,Q3,2017,17950000.0,239985.56,8,0.0133696690807799,8-12 Years,12.38833820075607
Comprehensive,Car,Private,Datsun,Redi Go,2016,2650000.0,37908.55,9,0.0143051132075471,8-12 Years,10.54295833822099
Comprehensive,Car,Private,DFSK,Glory,2019,9350000.0,126399.91,6,0.0135187069518716,4-7 Years,11.747213960036067
Comprehensive,Car,Private,Toyota,Corolla,1997,3675000.0,51445.94,28,0.0139988952380952,13+ Years,10.848306264274816
Comprehensive,Car,Private,Toyota,Hilux,2017,27995000.0,372656.11,8,0.0133115238435434,8-12 Years,12.828413999693103
Comprehensive,Car,Private,Hyundai,Venue,2019,10900000.0,146871.44,6,0.0134744440366972,4-7 Years,11.897319733941426
Comprehensive,Car,Private,Kia,Sportage,2011,10725000.0,144560.06,14,0.0134787934731934,13+ Years,11.881457257834688
Comprehensive,Car,Private,Honda,Grace,2015,11375000.0,153144.76,10,0.0134632756043956,8-12 Years,11.939145426601804
Comprehensive,Car,Private,Audi,A4,2011,11750000.0,158097.44,14,0.0134551012765957,13+ Years,11.970973155976207
Comprehensive,Car,Private,Honda,Fit,2014,8500000.0,115172.91,11,0.013549754117647,8-12 Years,11.654198525899991
Comprehensive,Car,Private,Jaguar,XF,2014,18500000.0,247249.62,11,0.0133648443243243,8-12 Years,12.418157757065233
Comprehensive,Car,Private,Toyota,CHR,2018,16500000.0,220833.68,7,0.0133838593939393,4-7 Years,12.305169646269018
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000.0,181211.26,9,0.0134230562962962,8-12 Years,12.107424330346328
Comprehensive,Car,Private,BMW,318i,2017,21950000.0,292815.44,8,0.0133401111617312,8-12 Years,12.587301207034063
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000.0,187815.5,12,0.0134153928571428,8-12 Years,12.143220701321807
Comprehensive,Car,Private,Toyota,Avanza,2008,5950000.0,81493.91,17,0.0136964554621848,13+ Years,11.308295843290892
Comprehensive,Car,Private,Toyota,Corona,1991,1875000.0,27672.29,34,0.0147585546666666,13+ Years,10.228222967049955
Comprehensive,Car,Private,Honda,Vezel,2014,10850000.0,146210.62,11,0.0134756331797235,8-12 Years,11.892810303303593
Comprehensive,Car,Private,Nissan,X-Trail,2016,12200000.0,164040.85,9,0.0134459713114754,8-12 Years,12.00787685717954
Comprehensive,Car,Private,Mercedes Benz,E200,2013,25000000.0,333099.68,12,0.0133239872,8-12 Years,12.716200065608687
Comprehensive,Car,Private,Toyota,Passo,2020,8100000.0,109890.32,5,0.0135667061728395,4-7 Years,11.607247156380838
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2018,128000000.0,1693487.19,7,0.013230368671875,4-7 Years,14.342300977492588
Comprehensive,Car,Private,Land Rover,Range Rover Velar,2019,64500000.0,854801.28,6,0.0132527330232558,4-7 Years,13.658625469714167
Comprehensive,Car,Private,MG,MG4 X,2024,19950000.0,266400.5,1,0.0133534085213032,0-3 Years,12.49275984826315
Comprehensive,Car,Private,BMW,X5,2016,37500000.0,498194.57,9,0.0132851885333333,8-12 Years,13.118747989759443
Comprehensive,Car,Private,Nissan,AD Wagon,1991,1790000.0,26549.59,34,0.0148321731843575,13+ Years,10.186807248645398
Comprehensive,Car,Private,Toyota,Corolla,1992,2090000.0,30511.53,33,0.0145988181818181,13+ Years,10.325892697904337
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000.0,59370.82,20,0.0138879111111111,13+ Years,10.991574982007931
Comprehensive,Car,Private,Toyota,Prius,2014,10925000.0,147201.35,11,0.0134738077803203,8-12 Years,11.899563449823392
Comprehensive,Car,Private,Toyota,Toyota,2013,7650000.0,103946.91,12,0.013587831372549,8-12 Years,11.551645187263928
Comprehensive,Car,Private,Honda,Vezel,2016,12250000.0,164701.67,9,0.0134450342857142,8-12 Years,12.011897127327591
Comprehensive,Car,Private,Toyota,Corolla,2006,6385000.0,87238.37,19,0.0136630180109631,13+ Years,11.376410998831444
Comprehensive,Car,Private,Audi,Q2,2017,17750000.0,237343.27,8,0.0133714518309859,8-12 Years,12.37726698212496
